imputation,resampling,model,cv_auc_pr,test_auc_pr,test_auc_roc,test_f1,test_recall,test_precision,best_params
iterative,none,XGBoost,0.2528,0.2663,0.8407,0.2800,0.2800,0.2800,"{'model__subsample': 1.0, 'model__scale_pos_weight': 10, 'model__n_estimators': 100, 'model__max_depth': 5, 'model__learning_rate': 0.01, 'model__colsample_bytree': 0.7}"
iterative,smote,Logistic Regression,0.2294,0.2664,0.8428,0.2402,0.8000,0.1413,"{'model__penalty': 'l1', 'model__class_weight': None, 'model__C': 0.1}"
iterative,smote,SVM (RBF),0.2217,0.2624,0.8475,0.2315,0.7800,0.1359,"{'model__gamma': 0.001, 'model__class_weight': 'balanced', 'model__C': 100}"
iterative,smote,Random Forest,0.2145,0.1794,0.8084,0.2176,0.7400,0.1276,"{'model__n_estimators': 100, 'model__min_samples_leaf': 2, 'model__max_features': 'log2', 'model__max_depth': 5, 'model__class_weight': None}"
iterative,smote,XGBoost,0.2382,0.2017,0.8334,0.2384,0.8200,0.1395,"{'model__subsample': 1.0, 'model__scale_pos_weight': 1, 'model__n_estimators': 300, 'model__max_depth': 3, 'model__learning_rate': 0.01, 'model__colsample_bytree': 1.0}"
iterative,adasyn,Logistic Regression,0.2281,0.2665,0.8429,0.2321,0.7800,0.1364,"{'model__penalty': 'l1', 'model__class_weight': None, 'model__C': 0.1}"
iterative,adasyn,SVM (RBF),0.2196,0.2570,0.8477,0.2261,0.7800,0.1322,"{'model__gamma': 0.001, 'model__class_weight': 'balanced', 'model__C': 100}"
iterative,adasyn,Random Forest,0.2155,0.1813,0.8065,0.2056,0.7400,0.1194,"{'model__n_estimators': 100, 'model__min_samples_leaf': 2, 'model__max_features': 'log2', 'model__max_depth': 5, 'model__class_weight': None}"
iterative,adasyn,XGBoost,0.2391,0.2086,0.8327,0.2343,0.8200,0.1367,"{'model__subsample': 1.0, 'model__scale_pos_weight': 1, 'model__n_estimators': 300, 'model__max_depth': 3, 'model__learning_rate': 0.01, 'model__colsample_bytree': 1.0}"
iterative,undersample,Logistic Regression,0.2238,0.2891,0.8423,0.2310,0.7600,0.1362,"{'model__penalty': 'l1', 'model__class_weight': None, 'model__C': 10}"
iterative,undersample,SVM (RBF),0.2157,0.2736,0.8395,0.2162,0.8000,0.1250,"{'model__gamma': 'auto', 'model__class_weight': 'balanced', 'model__C': 1}"
iterative,undersample,Random Forest,0.2082,0.2175,0.8183,0.1995,0.8000,0.1140,"{'model__n_estimators': 100, 'model__min_samples_leaf': 5, 'model__max_features': 'log2', 'model__max_depth': None, 'model__class_weight': None}"
iterative,undersample,XGBoost,0.2148,0.2451,0.8316,0.1894,0.8200,0.1070,"{'model__subsample': 1.0, 'model__scale_pos_weight': 1, 'model__n_estimators': 300, 'model__max_depth': 3, 'model__learning_rate': 0.01, 'model__colsample_bytree': 1.0}"
iterative,smoteenn,Logistic Regression,0.2235,0.2616,0.8430,0.2326,0.8000,0.1361,"{'model__penalty': 'l1', 'model__class_weight': 'balanced', 'model__C': 10}"
iterative,smoteenn,SVM (RBF),0.2172,0.2693,0.8449,0.2299,0.8000,0.1342,"{'model__gamma': 0.001, 'model__class_weight': 'balanced', 'model__C': 100}"
iterative,smoteenn,Random Forest,0.2057,0.2196,0.8220,0.2159,0.7600,0.1258,"{'model__n_estimators': 100, 'model__min_samples_leaf': 5, 'model__max_features': 'log2', 'model__max_depth': 5, 'model__class_weight': 'balanced_subsample'}"
iterative,smoteenn,XGBoost,0.2502,0.2180,0.8443,0.2095,0.8400,0.1197,"{'model__subsample': 1.0, 'model__scale_pos_weight': 1, 'model__n_estimators': 300, 'model__max_depth': 3, 'model__learning_rate': 0.01, 'model__colsample_bytree': 1.0}"
